epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3817.5,1.41092,1.68531,1.23515,0.67863,0.51227,0.55036,0.26742,1.74881,1.59682,1.35227,0.000416018,0.000416018,0.000416018
2,10629.6,1.33527,1.04269,1.1946,0.66663,0.49821,0.55111,0.28508,1.69937,1.41294,1.32635,0.000750249,0.000750249,0.000750249
3,16894,1.31096,0.90527,1.19338,0.68399,0.49751,0.54482,0.288,1.69527,1.36476,1.34238,0.00100198,0.00100198,0.00100198
4,20350.9,1.28736,0.81493,1.17728,0.72352,0.53618,0.58314,0.28164,1.79581,1.3469,1.38896,0.00087875,0.00087875,0.00087875
5,24095.2,1.26977,0.75324,1.16957,0.74175,0.54904,0.60999,0.31011,1.72208,1.25307,1.34968,0.000755,0.000755,0.000755
6,27284.5,1.23691,0.70266,1.15073,0.73011,0.60754,0.65224,0.351,1.63061,1.11881,1.30894,0.00063125,0.00063125,0.00063125
7,32609.4,1.21838,0.67161,1.14053,0.77453,0.58371,0.64976,0.3295,1.66433,1.15933,1.32173,0.0005075,0.0005075,0.0005075
8,60229.3,1.18913,0.63469,1.13113,0.77133,0.59252,0.64878,0.34194,1.65897,1.14706,1.32089,0.00038375,0.00038375,0.00038375
9,65931.9,1.1629,0.59812,1.11096,0.78795,0.62133,0.684,0.3639,1.63302,1.08852,1.30897,0.00026,0.00026,0.00026
10,69616.6,1.14557,0.57032,1.09954,0.78618,0.62897,0.68893,0.37009,1.61311,1.09053,1.29207,0.00013625,0.00013625,0.00013625
